# TNS_ID                            ra_TNS       dec_TNS       ZTF_ID       redshift_TNS noche     telescopio
  2019qfb                           20:45:12.035 -12:00:39.94  ZTF19abxekxi 0.1423       11oct2019 IAC80     
  2019rsi                           00:42:23.531 +41:11:52.18  ZTF19acbzgog ""           11oct2019 IAC80     
  2019sik                           22:20:12.225 +17:36:40.53  ZTF19accobqx ""           11oct2019 IAC80     
  2019sft                           00:15:36.624 +20:01:30.20  ZTF19acdpmzy ""           11oct2019 IAC80     
  2019skb                           21:33:52.051 +33:53:39.51  ZTF19acedfpz ""           11oct2019 IAC80     
  2019sdq                           01:33:25.091 +23:45:13.20  ZTF19acdgafe ""           11oct2019 IAC80     
  2019sdv                           01:57:42.150 +13:23:25.44  ZTF19acdgyxw ""           11oct2019 IAC80     
  2019sjz                           03:10:30.471 +05:13:42.80  ZTF19acdigzw ""           11oct2019 IAC80     
  2019ska                           03:20:08.145 -12:13:24.92  ZTF19aceetrx ""           11oct2019 IAC80     
  2019seb                           05:53:44.285 +14:12:39.50  ZTF19acdkmen ""           11oct2019 IAC80     
  2019sjn                           07:40:43.125 +17:52:24.82  ZTF19acdjlfy ""           11oct2019 IAC80     
  2019sjx                           08:30:14.975 +39:53:32.44  ZTF19acdabep ""           11oct2019 IAC80     
  2019rub                           18:05:21.561 +44:57:32.39  ZTF19accedxz ""           12oct2019 IAC80     
  2019ruh                           22:25:40.754 +18:35:12.81  ZTF19accmxtw ""           12oct2019 IAC80     
  2019sld                           20:44:32.058 +71:03:36.84  ZTF18acavmlk ""           12oct2019 IAC80     
  2019sgo                           22:17:10.418 +11:55:39.12  ZTF19acbkyma 0.096        12oct2019 IAC80     
  M31_centro                        00:42:44.3   +41:16:09     ""           ""           12oct2019 IAC80     
  2019sgu                           00:54:44.473 +46:38:57.30  ZTF19acdnvwk ""           12oct2019 IAC80     
  2019shx                           02:32:02.850 +46:05:50.50  ZTF19acchaza ""           12oct2019 IAC80     
  2019sjs                           02:58:40.467 -06:01:02.16  ZTF19acegibs ""           12oct2019 IAC80     
  2019sdu                           02:28:27.057 +22:25:47.00  ZTF19acdgwng ""           12oct2019 IAC80     
